date,age_group,hospital_cases
2020-06-22T00:00:00Z,35 to 54,710
2020-06-22T00:00:00Z,55 to 64,490
2020-06-22T00:00:00Z,65 and older,1786
2020-06-23T00:00:00Z,Under 35,303
2020-06-23T00:00:00Z,35 to 54,709
2020-06-23T00:00:00Z,55 to 64,490
2020-06-23T00:00:00Z,65 and older,1789
2020-06-24T00:00:00Z,Under 35,302
2020-06-24T00:00:00Z,35 to 54,708
2020-06-24T00:00:00Z,55 to 64,492
2020-06-24T00:00:00Z,65 and older,1789
2020-06-25T00:00:00Z,Under 35,302
2020-06-25T00:00:00Z,35 to 54,708
2020-06-25T00:00:00Z,55 to 64,492
2020-06-25T00:00:00Z,65 and older,1789
2020-06-26T00:00:00Z,Under 35,302
2020-06-26T00:00:00Z,35 to 54,708
2020-06-26T00:00:00Z,55 to 64,492
2020-06-26T00:00:00Z,65 and older,1789
2020-06-27T00:00:00Z,Under 35,302
2020-06-27T00:00:00Z,35 to 54,709
2020-06-27T00:00:00Z,55 to 64,492
2020-06-27T00:00:00Z,65 and older,1788
2020-06-28T00:00:00Z,Under 35,302
2020-06-28T00:00:00Z,35 to 54,710
2020-06-28T00:00:00Z,55 to 64,492
2020-06-28T00:00:00Z,65 and older,1789
2020-06-29T00:00:00Z,Under 35,304
2020-06-29T00:00:00Z,35 to 54,710
2020-06-29T00:00:00Z,55 to 64,492
2020-06-29T00:00:00Z,65 and older,1789
2020-06-30T00:00:00Z,Under 35,304
2020-06-30T00:00:00Z,35 to 54,710
2020-06-30T00:00:00Z,55 to 64,492
2020-06-30T00:00:00Z,65 and older,1789
2020-07-01T00:00:00Z,Under 35,306
2020-07-01T00:00:00Z,35 to 54,713
2020-07-01T00:00:00Z,55 to 64,492
2020-07-01T00:00:00Z,65 and older,1794
2020-07-02T00:00:00Z,Under 35,308
2020-07-02T00:00:00Z,35 to 54,713
2020-07-02T00:00:00Z,55 to 64,492
2020-07-02T00:00:00Z,65 and older,1794
2020-07-03T00:00:00Z,Under 35,308
2020-07-03T00:00:00Z,35 to 54,713
2020-07-03T00:00:00Z,55 to 64,492
2020-07-03T00:00:00Z,65 and older,1793
2020-07-04T00:00:00Z,Under 35,308
2020-07-04T00:00:00Z,35 to 54,714
2020-07-04T00:00:00Z,55 to 64,492
2020-07-04T00:00:00Z,65 and older,1793
2020-07-05T00:00:00Z,Under 35,309
2020-07-05T00:00:00Z,35 to 54,713
